Gene_Name,Gene_ID,TF,Strand,Start,End
ROBO3,ENSG00000154134,+,2571,2588
WDR78,ENSG00000152763,+,1742,1759
SDHC,ENSG00000143252,+,1651,1668
SDHC,ENSG00000143252,+,1657,1674
KANK3,ENSG00000186994,+,1315,1332
KANK3,ENSG00000186994,+,1316,1333
KANK3,ENSG00000186994,+,2507,2524
HLF,ENSG00000108924,+,555,572
SF3A3,ENSG00000183431,+,715,732
TMEM178A,ENSG00000152154,+,1620,1637
TNNC2,ENSG00000101470,+,1894,1911
NTNG1,ENSG00000162631,+,838,855
KCNE3,ENSG00000175538,+,2052,2069
RWDD3,ENSG00000122481,+,2030,2047
LRRC41,ENSG00000132128,+,226,243
SUCLA2,ENSG00000136143,+,53,70
METTL21A,ENSG00000144401,+,1480,1497
METTL21A,ENSG00000144401,+,1481,1498
ANKRD54,ENSG00000100124,+,1099,1116
ANKRD54,ENSG00000100124,+,2314,2331
FAM213A,ENSG00000122378,+,76,93
SNORD89,ENSG00000212283,+,1246,1263
FCHO1,ENSG00000130475,+,724,741
FCHO1,ENSG00000130475,+,730,747
FCHO1,ENSG00000130475,+,737,754
FCHO1,ENSG00000130475,+,743,760
WBP11,ENSG00000084463,+,109,126
WBP11,ENSG00000084463,+,115,132
DNASE1L3,ENSG00000163687,+,2505,2522
ETV3,ENSG00000117036,+,2957,2974
DNAJC17,ENSG00000104129,+,2462,2479
ORC3,ENSG00000135336,+,2283,2300
POFUT1,ENSG00000101346,+,659,676
POFUT1,ENSG00000101346,+,2317,2334
FAAH,ENSG00000117480,+,1404,1421
RDH12,ENSG00000139988,+,721,738
SON,ENSG00000159140,+,677,694
SON,ENSG00000159140,+,989,1006
STK32B,ENSG00000152953,+,2530,2547
C12orf45,ENSG00000151131,+,1766,1783
IGBP1,ENSG00000089289,+,2971,2988
